slug,brand,model,year,price_nok,range_km,battery_kwh,dc_charging_kw,drivetrain,image_url,description,is_published
tesla-model-y,Tesla,Model Y,2025,499990,568,75,250,Firehjulsdrift,/images/cars/tesla-model-y.webp,"En romslig elektrisk SUV med lang rekkevidde og stort ladenettverk.",true
,Volkswagen,ID.4,2025,489900,550,77,175,Bakhjulsdrift,/images/cars/volkswagen-id-4.webp,"Familievennlig elektrisk SUV med god plass og komfort.",yes
